DateTime,AddedIPs,RemovedIPs
1605272406,6,0
1605316089,6,0
1605359774,2,0
1605403474,1,0
1605447127,1,0
1605490807,7,0
1605534488,2,0
1605578356,3,0
1605622113,3,0
1605665765,4,0
1605709504,4,0
1605753136,4,0
1605884216,3,0
1605927851,6,0
1605971529,4,0
1606015232,4,0
1606058924,3,0
1606102571,6,0
1606146246,3,0
1606189925,3,0
1606233618,4,0
1606277287,1,0
1606364686,2,0
1606408348,3,0
1606452008,1,0
1606495929,6,0
1606539614,1,0
1606583288,3,0
1606626966,3,0
1606670775,6,0
1606714591,2,0
1606758245,5,0
1606801954,2,0
1606845670,8,0
1606889533,6,0
1606933207,7,0
1606976890,5,0
1607020566,3,0
1607064257,4,0
1607107960,3,0
1607151614,5,0
1607195291,3,0
1607282650,5,0
1607370032,3,0
1607413711,4,0
1607457387,2,0
1607501052,3,0
1607544725,6,0
1607588408,8,0
1607632355,10,0
1607676027,6,0
1607719684,19,0
1607763367,6,0
1607807053,8,0
1607850747,7,0
1607894407,13,0
1607938087,5,0
1607981788,6,0
1608025496,8,0
1608069128,6,0
1608112816,7,0
1608156489,3,0
1608200165,7,0
1608243873,1,0
1608287528,3,0
1608331208,1,0
1608418564,4,0
1608462274,1,0
1608505924,3,0
1608549608,3,0
1608593285,1,0
1608636966,1,0
1608680646,5,0
1608724352,1,0
1608768022,3,0
1608855364,4,0
1608942757,1,0
1608986405,2,0
1609030115,1,0
1609073765,2,0
1609117451,1,0
1609161132,1,0
1609204807,3,0
1609248487,1,0
1609292166,5,0
1609335877,3,0
1609379525,1,0
1609423241,2,0
1609510843,4,0
1609554487,3,0
1609598196,2,0
1609641846,1,0
1609773131,4,0
1609816846,4,0
1609904193,4,0
1609947850,2,0
1609991525,1,0
1610035283,1,0
1610079162,2,0
1610122804,3,0
1610166491,4,0
1610210201,3,0
1610341300,1,0
1610384923,1,0
1610428567,5,0
1610472285,6,0
1610515932,1,0
1610646964,1,0
1610690688,3,0
1610734336,1,0
1610778042,2,0
1610865379,5,0
1610909086,2,0
1610952761,2,0
1610996420,6,0
1611040088,2,0
1611083800,1,0
1611171126,6,0
1611214805,4,0
1611258487,8,0
1611302168,1,0
1611346156,6,0
1611390040,2,0
1611433689,1,0
1611477369,2,0
1611564756,2,0
1611608444,2,0
1611695772,2,0
1611739454,2,0
1611783162,2,0
1611826806,3,0
1611870733,1,0
1611958152,3,0
1612089605,1,0
1612133530,3,0
1612177214,2,0
1612220893,3,0
1612264603,2,0
1612308280,2,0
1612395643,2,0
1612439284,3,0
1612526656,2,0
1612570391,3,0
1612680011,6,0
1612723684,1,0
1612767363,2,0
1612811063,2,0
1612854726,1,0
1612942358,1,0
1612986038,1,0
1613029724,5,0
1613073368,1,0
1613117057,3,0
1613160738,2,0
1613204405,1,0
1613248089,2,0
1613291766,1,0
1613379126,3,0
1613422816,4,0
1613466491,1,0
1613510167,3,0
1613597529,11,0
1613685126,3,0
1613728866,1,0
1613772733,3,0
1613860326,1,0
1613904287,1,0
1613991651,1,0
1614035527,2,0
1614101160,9,0
1614144975,19,0
1614188655,13,0
1614232325,13,0
1614276015,1,0
1614319932,5,0
1614363626,1,0
1614407319,3,0
1614451213,2,0
1614494885,2,0
1614538628,1,0
1614582302,1,0
1614889586,4,0
1614933370,3,0
1614977080,2,0
1615020724,1,0
1615064983,1,0
1615108852,1,0
1615152766,4,0
1615196432,4,0
1615240087,2,0
1615283766,1,0
1615327459,1,0
1615371127,7,0
1615414837,7,0
1615458488,1,0
1615502200,1,0
1615545845,3,0
1615589525,1,0
1615633248,1,0
1615676886,3,0
1615720566,3,0
1615764248,2,0
1615807932,3,0
1615895286,1,0
1615938968,6,0
1615982669,2,0
1616026329,2,0
1616070487,2,0
1616114169,3,0
1616157850,2,0
1616201524,3,0
1616288890,2,0
1616332836,7,0
1616376487,1,0
1616420168,1,0
1616463863,1,0
1616507527,5,0
1616551266,4,0
1616595131,2,0
1616638805,1,0
1616682486,2,0
